Type,Title,Price,Location,Land Area,Bedroom,Bathroom,Car Space,Floor Level,Floor Area,Facing,Agency,Status,Status1,Status2,Status3
Project,Orkide The Royal Condominium,"$73,489"," Maida st 2004, Ou Baek K'am, Sen Sok, Phnom Penh",NaN,1 to 3,NaN,NaN,NaN,29 to 257m²,NaN,"Orkidē Villa Co., Ltd",For sale,Ready to Move In
Villa,Urgent House for Sale in Borey Peng Hout 60m,"$210,000","Chak Angrae Kraom, Meanchey, Phnom Penh",NaN,5,4,1,NaN,NaN,NaN,I Realty Services,For sale or rent
Apartment,"2 Bedroom Duplex Apartment With Studio For Sale - Daun Penh, Phnom Penh","$150,000","Phsar Thmei III, Daun Penh, Phnom Penh",112m²,2,3,NaN,2,210m²,NaN,IPS Cambodia,For sale,Urgent Sale
Apartment,"34th Floor 3 Bedroom For Sale in The Bridge, Phnom Penh","$195,000","Tonle Bassac, Chamkarmon, Phnom Penh",NaN,3,2,NaN,34,NaN,NaN,IPS Cambodia,For sale
Condo,"2 Bedroom Condo For Sale - Embassy Residences, Phnom Penh","$410,000","Tonle Bassac, Chamkarmon, Phnom Penh",153m²,2,2,NaN,11,153m²,NaN,IPS Cambodia,For sale
Villa,"4 Bedroom Villa For Sale - Ta Khmau, Kandal","$650,000"," Ta Khmao, Ta Khmau, Kandal",883m²,4,5,1,2,320m²,NaN,IPS Cambodia,For sale
Land,"22320 Sqm Land For Sale - Sambour, Siem Reap",$85/m²,"Sangkat Sambuor, Siem Reap, Siem Reap",22320m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,Price Negotiable
NaN,Time Square 306,POA," 306, BKK 1, Chamkarmon, Phnom Penh",NaN,1 to 3,NaN,NaN,NaN,50 to 135m²,NaN,Megakim World Corp Ltd
Villa,"3 Bedroom Villa For Sale - Prek Eng, Phnom Penh","$265,000","Preaek Aeng, Chbar Ampov, Phnom Penh",225m²,3,4,1,2,168m²,NaN,Borey For Sale,For sale
Condo,Best-priced Two Bedroom unit for Sale in J Tower 2 (BKK1),"$229,062","398 Street, BKK 1, Chamkarmon, Phnom Penh",NaN,2,2,NaN,32,91m²,N/E,MLS Property Cambodia,For sale,Ready to Move In
Villa,DABEST PROPERTIES: Villa for Sale in Siem Reap - Borey ,"$175,000","Kandaek, Prasat Bakong, Siem Reap",250m²,3,3,2,NaN,NaN,NaN,"DaBest Properties Cambodia Co., Ltd",For sale,Price Negotiable
Villa,DABEST PROPERTIES: Modern Villa for Sale in Siem Reap-Sala Kamreuk,"$590,000","Dabest Properties, Sala Kamraeuk, Siem Reap, Siem Reap",1150m²,3,2,NaN,NaN,200m²,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Link House,Project Japanese Style House for Sale in Road No.3 area,"$38,000"," Veal, Kong Pisei, Kampong Speu",84m²,2,3,1,2,67m²,NaN,T'S HOME Real Estate,For sale
Condo,"DABEST PROPERTIES : Amazing Riverview Condo for Re-Sale: USD 250,000","$250,000","PROPERTIES DABEST, Chroy Changvar, Chroy Changvar, Phnom Penh",NaN,2,2,1,NaN,104m²,E/S,"DaBest Properties Cambodia Co., Ltd",For sale
