url,name,rating,location,address,cuisines,cost_for_two,hours,facilities,phone_number_1,phone_number_2,phone_number_3,hours_int,hours_categorical,amount_cuisines,amount_facilities
https://www.zomato.com/jakarta/ab-steak-by-chef-akira-back-setiabudi/info,AB Steak by Chef Akira Back,4.9,Setiabudi,"MD Place Building, Lantai Mezanine, Jl. Setiabudi Selatan No. 7, Kuningan, Jakarta","Steak,Korean",1500000,17h 30m – 22h 30m (Today),"Full Bar Available,Valet Parking Available,Indoor Seating,Table booking recommended,Private Dining Area Available,Smoking Area",622129669272,628772278325,,17,Afternoon,2,6
https://www.zomato.com/jakarta/3-wise-monkeys-senopati/info,3 Wise Monkeys,4.2,Senopati,"Jl. Senopati No. 46, Senopati, Jakarta","Japanese,Sushi",450000,11h – 1h (Today),"Home Delivery,Full Bar Available,Smoking Area,Buffet,Table booking recommended,Praying Room,Valet Parking Available,Indoor Seating",+6281211777746,,,11,Morning,2,8
https://www.zomato.com/jakarta/skye-thamrin/info,SKYE,4.3,Thamrin,"Menara BCA, Lantai 56, Jl. MH. Thamrin, Thamrin, Jakarta","Fusion,European,Asian",600000,16h – 1h (Today),"Full Bar Available,Luxury Dining,Smoking Area,Live Entertainment,City View,Rooftop,Private Dining Area Available,Wifi,Nightlife,Valet Parking Available,Outdoor Seating,Indoor Seating,Serves Cocktails,Table booking recommended",+622123586996,,,16,Afternoon,3,14
https://www.zomato.com/jakarta/bittersweet-by-najla-kalibata/info,Bittersweet By Najla,3.7,Kalibata,"Jl. Kalibata Timur No. 31, Kalibata, Jakarta",Desserts,150000,8h 30m – 21h (Today),"Takeaway Available,Indoor Seating,Desserts and Bakes",6287877469293,62818400165,,8,Morning,1,3
https://www.zomato.com/jakarta/wing-heng-hongkong-dim-sum-shop-pluit/info,Wing Heng Hongkong Dim Sum Shop,4.4,Pluit,"Jl. Pluit Karang Utara, Blok A4U No. 65A, Pluit, Jakarta","Dimsum,Chinese",150000,24 Hours (Today),"Breakfast,Takeaway Available,Indoor Seating",+6283875116699,,,24,,2,3
https://www.zomato.com/jakarta/warung-wakaka-muara-karang/info,Warung Wakaka,4.1,Muara Karang,"Jl. Muara Karang, Blok P2 Selatan No. 78-80, Muara Karang, Jakarta 14450","Street Food,Martabak,Indonesian,Coffee",130000,17h – 1h (Today),"Takeaway Available,Outdoor Seating,Table booking recommended,Smoking Area,Indoor Seating",+622166602919,,,17,Afternoon,4,5
https://www.zomato.com/jakarta/haka-dimsum-shop-kemang/info,Haka Dimsum Shop,4.2,Kemang,"Jl. Kemang Selatan VIII No.44A, Kemang, Jakarta",Dimsum,100000,24 Hours (Today),"Breakfast,Takeaway Available,Indoor Seating,Smoking Area,Outdoor Seating",+6287774798200,,,24,,1,5
https://www.zomato.com/jakarta/mamam-indonesian-moms-dishes-muara-karang/info,MAMAM Indonesian Mom's Dishes,4.1,Muara Karang,"Jl. Muara Karang, Blok P2 No. 86, Muara Karang, Jakarta",Indonesian,180000,11h – 21h (Today),"Takeaway Available,Indoor Seating,Table booking recommended,Wifi",+622122668752,,,11,Morning,1,4
https://www.zomato.com/jakarta/ben-gongs-tea-tanjung-duren/info,Ben Gong's Tea,3.8,Tanjung Duren,"Neo Soho Mall Lt.3A, Jl. Letjen S. Parman, Tanjung Duren, Jakarta","Beverages,Bubble Tea",60000,10h – 22h (Today),"Home Delivery,Takeaway Available,Indoor Seating",Not available for this place,,,10,Morning,2,3
https://www.zomato.com/jakarta/sushi-hiro-senopati/info,Sushi Hiro,4.6,Senopati,"Jl. Suryo No. 24, Senopati, Jakarta",Japanese,400000,11h – 21h 30m (Today),"Home Delivery,Takeaway Available,Wifi,Indoor Seating",+622172800108,,,11,Morning,1,4
