id,idno,title,nation,authoring_entity,year_start,year_end,created,changed
1970,ALB_2012_LSMS_v01_M_v01_A_PUF,"Living Standards Measurement Survey 2012",Albania,"Institute of Statistics of Albania",2012,2012,Mar-13-14,Sep-09-20
1933,ALB_2008_LSMS_v01_M,"Living Standards Measurement Survey 2008",Albania,"Institute of Statistics of Albania",2008,2008,Feb-07-14,Jan-30-20
64,ALB_2005_LSMS_v01_M,"Living Standards Measurement Survey 2005",Albania,"Institute of Statistics of Albania",2005,2005,Mar-23-11,Jan-30-20
88,ALB_2004_LSMS_v01_M,"Living Standards Measurement Survey 2004 (Wave 3 Panel)",Albania,"Institute of Statistics of Albania",2004,2004,Mar-23-11,Jan-30-20
87,ALB_2003_LSMS_v01_M,"Living Standards Measurement Survey 2003 (Wave 2 Panel)",Albania,"Institute of Statistics of Albania",2003,2003,Mar-23-11,Jan-30-20
86,ALB_2002_LSMS_v01_M,"Living Standards Measurement Survey 2002 (Wave 1 Panel)",Albania,"Institute of Statistics of Albania",2002,2002,Mar-23-11,Jan-30-20
2311,ALB_1996_EWS_v01_M,"Employment and Welfare Survey 1996",Albania,"Ministry of Labour and Social Affairs",1996,1996,Jun-10-15,Jan-30-20
2324,ARM_1996_HBS_v01_M,"Household Budget Survey 1996",Armenia,"State Department of Statistics (SDS)",1996,1996,Jul-08-15,Jan-30-20
408,AZE_1995_SLC_v01_M,"Survey of Living Conditions 1995",Azerbaijan,"Social Studies Center, Institute of Sociology and Political Science (SORGU) and the World Bank",1995,1995,Apr-06-11,Jan-30-20
4291,BEN_2018_EHCVM_v01_M,"Enquête Harmonisée sur le Conditions de Vie des Ménages 2018-2019",Benin,"Institut National de la Statistique et de l’Analyse Économique (INSAE)",2018,2019,Feb-09-22,Feb-16-22
68,BIH_2004_LSMS_v01_M,"Living Standards Measurement Survey 2004 (Wave 4 Panel)",Bosnia-Herzegovina,"State Agency for Statistics (BHAS), Republika Srpska Institute of Statistics (RSIS), Federation of BiH Institute of Statistics (FIS)",2004,2005,Mar-23-11,Jan-30-20
67,BIH_2003_LSMS_v01_M,"Living Standards Measurement Survey 2003 (Wave 3 Panel)",Bosnia-Herzegovina,"State Agency for Statistics (BHAS), Republika Srpska Institute of Statistics (RSIS), Federation of BiH Institute of Statistics (FIS)",2003,2003,Mar-23-11,Jan-30-20
66,BIH_2002_LSMS_v01_M,"Living Standards Measurement Survey 2002 (Wave 2 Panel)",Bosnia-Herzegovina,"State Agency for Statistics (BHAS), Republika Srpska Institute of Statistics (RSIS), Federation of BiH Institute of Statistics (FIS)",2002,2003,Mar-23-11,Jan-30-20
